[2014-08-13 16:48:44,226] [DEBUG]: axis[in wcs.py:592]
[2014-08-13 16:48:44,226] [DEBUG]: _CoordinateAxisType[in wcs.py:592]
[2014-08-13 16:48:44,280] [DEBUG]: starting basic calc[in wcs.py:340]
[2014-08-13 16:48:44,280] [DEBUG]: starting iter of dates[in wcs.py:363]
[2014-08-13 16:48:44,396] [DEBUG]: Finished basic[in wcs.py:388]
[2014-08-13 16:48:44,397] [DEBUG]: Process complete, returning data for transmission...[in wcs.py:230]
[2014-08-13 16:48:44,397] [DEBUG]: Jsonifying response...[in wcs.py:70]
[2014-08-13 16:48:44,398] [DEBUG]: Request complete, Sending results[in wcs.py:86]
[2014-08-13 17:07:03,431] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 17:07:03,431] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/swdown_3hourly.nc?item=layerDetails&layerName=SWdown&coverage=SWdown&request=GetMetadata[in proxy.py:32]
[2014-08-13 17:07:03,431] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
